
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Surface,3,Image 1,1,1000161026,161026,
0,,Surface,3,Image 1,1,1000161027,161027,
0,,Surface,3,Image 1,1,1000161028,161028,
0,,Surface,3,Image 1,1,1000161029,161029,
0,,Surface,3,Image 1,1,1000161030,161030,
0,,Surface,3,Image 1,1,1000161031,161031,
0,,Surface,3,Image 1,1,1000161032,161032,
0,,Surface,3,Image 1,1,1000161033,161033,
0,,Surface,3,Image 1,1,1000161034,161034,
0,,Surface,3,Image 1,1,1000161035,161035,
0,,Surface,3,Image 1,1,1000161036,161036,
61,,Surface,3,Image 1,1,1000161037,161037,
0,,Surface,3,Image 1,1,1000161038,161038,
0,,Surface,3,Image 1,1,1000161039,161039,
0,,Surface,3,Image 1,1,1000161040,161040,
0,,Surface,3,Image 1,1,1000161041,161041,
0,,Surface,3,Image 1,1,1000161042,161042,
0,,Surface,3,Image 1,1,1000161043,161043,
0,,Surface,3,Image 1,1,1000161044,161044,
0,,Surface,3,Image 1,1,1000161045,161045,
0,,Surface,3,Image 1,1,1000161046,161046,
0,,Surface,3,Image 1,1,1000161047,161047,
0,,Surface,3,Image 1,1,1000161048,161048,
0,,Surface,3,Image 1,1,1000161049,161049,
0,,Surface,3,Image 1,1,1000161050,161050,
0,,Surface,3,Image 1,1,1000161051,161051,
0,,Surface,3,Image 1,1,1000161052,161052,
0,,Surface,3,Image 1,1,1000161053,161053,
0,,Surface,3,Image 1,1,1000161054,161054,
0,,Surface,3,Image 1,1,1000161055,161055,
0,,Surface,3,Image 1,1,1000161056,161056,
0,,Surface,3,Image 1,1,1000161057,161057,
0,,Surface,3,Image 1,1,1000161058,161058,
0,,Surface,3,Image 1,1,1000161059,161059,
0,,Surface,3,Image 1,1,1000161060,161060,
0,,Surface,3,Image 1,1,1000161061,161061,
0,,Surface,3,Image 1,1,1000161062,161062,
0,,Surface,3,Image 1,1,1000161063,161063,
0,,Surface,3,Image 1,1,1000161064,161064,
0,,Surface,3,Image 1,1,1000161065,161065,
0,,Surface,3,Image 1,1,1000161066,161066,
0,,Surface,3,Image 1,1,1000161067,161067,
0,,Surface,3,Image 1,1,1000161068,161068,
0,,Surface,3,Image 1,1,1000161069,161069,
0,,Surface,3,Image 1,1,1000161070,161070,
0,,Surface,3,Image 1,1,1000161071,161071,
0,,Surface,3,Image 1,1,1000161072,161072,
0,,Surface,3,Image 1,1,1000161073,161073,
0,,Surface,3,Image 1,1,1000161074,161074,
0,,Surface,3,Image 1,1,1000161075,161075,
0,,Surface,3,Image 1,1,1000161076,161076,
0,,Surface,3,Image 1,1,1000161077,161077,
0,,Surface,3,Image 1,1,1000161078,161078,
0,,Surface,3,Image 1,1,1000161079,161079,
0,,Surface,3,Image 1,1,1000161080,161080,
0,,Surface,3,Image 1,1,1000161081,161081,
0,,Surface,3,Image 1,1,1000161082,161082,
0,,Surface,3,Image 1,1,1000161083,161083,
0,,Surface,3,Image 1,1,1000161084,161084,
0,,Surface,3,Image 1,1,1000161085,161085,
0,,Surface,3,Image 1,1,1000161086,161086,
0,,Surface,3,Image 1,1,1000161087,161087,
0,,Surface,3,Image 1,1,1000161088,161088,
0,,Surface,3,Image 1,1,1000161089,161089,
0,,Surface,3,Image 1,1,1000161090,161090,
0,,Surface,3,Image 1,1,1000161091,161091,
0,,Surface,3,Image 1,1,1000161092,161092,
0,,Surface,3,Image 1,1,1000161093,161093,
0,,Surface,3,Image 1,1,1000161094,161094,
0,,Surface,3,Image 1,1,1000161095,161095,
0,,Surface,3,Image 1,1,1000161096,161096,
0,,Surface,3,Image 1,1,1000161097,161097,
0,,Surface,3,Image 1,1,1000161098,161098,
0,,Surface,3,Image 1,1,1000161099,161099,
0,,Surface,3,Image 1,1,1000161100,161100,
0,,Surface,3,Image 1,1,1000161101,161101,
0,,Surface,3,Image 1,1,1000161102,161102,
0,,Surface,3,Image 1,1,1000161103,161103,
0,,Surface,3,Image 1,1,1000161104,161104,
0,,Surface,3,Image 1,1,1000161105,161105,
0,,Surface,3,Image 1,1,1000161106,161106,
0,,Surface,3,Image 1,1,1000161107,161107,
0,,Surface,3,Image 1,1,1000161108,161108,
0,,Surface,3,Image 1,1,1000161109,161109,
0,,Surface,3,Image 1,1,1000161110,161110,
0,,Surface,3,Image 1,1,1000161111,161111,
0,,Surface,3,Image 1,1,1000161112,161112,
0,,Surface,3,Image 1,1,1000161113,161113,
7,,Surface,3,Image 1,1,1000161114,161114,
0,,Surface,3,Image 1,1,1000161115,161115,
0,,Surface,3,Image 1,1,1000161116,161116,
0,,Surface,3,Image 1,1,1000161117,161117,
0,,Surface,3,Image 1,1,1000161118,161118,
0,,Surface,3,Image 1,1,1000161119,161119,
0,,Surface,3,Image 1,1,1000161120,161120,
0,,Surface,3,Image 1,1,1000161121,161121,
0,,Surface,3,Image 1,1,1000161122,161122,
0,,Surface,3,Image 1,1,1000161123,161123,
41,,Surface,3,Image 1,1,1000161124,161124,
0,,Surface,3,Image 1,1,1000161125,161125,
0,,Surface,3,Image 1,1,1000161126,161126,
0,,Surface,3,Image 1,1,1000161127,161127,
0,,Surface,3,Image 1,1,1000161128,161128,
0,,Surface,3,Image 1,1,1000161129,161129,
0,,Surface,3,Image 1,1,1000161130,161130,
0,,Surface,3,Image 1,1,1000161131,161131,
0,,Surface,3,Image 1,1,1000161132,161132,
0,,Surface,3,Image 1,1,1000161133,161133,
0,,Surface,3,Image 1,1,1000161134,161134,
0,,Surface,3,Image 1,1,1000161135,161135,
0,,Surface,3,Image 1,1,1000161136,161136,
0,,Surface,3,Image 1,1,1000161137,161137,
0,,Surface,3,Image 1,1,1000161138,161138,
0,,Surface,3,Image 1,1,1000161139,161139,
0,,Surface,3,Image 1,1,1000161140,161140,
0,,Surface,3,Image 1,1,1000161141,161141,
0,,Surface,3,Image 1,1,1000161142,161142,
0,,Surface,3,Image 1,1,1000161143,161143,
0,,Surface,3,Image 1,1,1000161144,161144,
0,,Surface,3,Image 1,1,1000161145,161145,
0,,Surface,3,Image 1,1,1000161146,161146,
0,,Surface,3,Image 1,1,1000161147,161147,
0,,Surface,3,Image 1,1,1000161148,161148,
0,,Surface,3,Image 1,1,1000161149,161149,
0,,Surface,3,Image 1,1,1000161150,161150,
0,,Surface,3,Image 1,1,1000161151,161151,
0,,Surface,3,Image 1,1,1000161152,161152,
0,,Surface,3,Image 1,1,1000161153,161153,
0,,Surface,3,Image 1,1,1000161154,161154,
0,,Surface,3,Image 1,1,1000161155,161155,
0,,Surface,3,Image 1,1,1000161156,161156,
0,,Surface,3,Image 1,1,1000161157,161157,
0,,Surface,3,Image 1,1,1000161158,161158,
0,,Surface,3,Image 1,1,1000161159,161159,
0,,Surface,3,Image 1,1,1000161160,161160,
0,,Surface,3,Image 1,2,1000161027,161161,
0,,Surface,3,Image 1,2,1000161028,161162,
0,,Surface,3,Image 1,2,1000161029,161163,
0,,Surface,3,Image 1,2,1000161030,161164,
0,,Surface,3,Image 1,2,1000161032,161165,
0,,Surface,3,Image 1,2,1000161033,161166,
0,,Surface,3,Image 1,2,1000161031,161167,
0,,Surface,3,Image 1,2,1000161034,161168,
0,,Surface,3,Image 1,2,1000161035,161169,
0,,Surface,3,Image 1,2,1000161038,161170,
0,,Surface,3,Image 1,2,1000161036,161171,
0,,Surface,3,Image 1,2,1000161039,161172,
0,,Surface,3,Image 1,2,1000161044,161173,
0,,Surface,3,Image 1,2,1000161043,161174,
0,,Surface,3,Image 1,2,1000161026,161175,
0,,Surface,3,Image 1,2,1000161047,161176,
0,,Surface,3,Image 1,2,1000161046,161177,
0,,Surface,3,Image 1,2,1000161048,161178,
0,,Surface,3,Image 1,2,1000161042,161179,
0,,Surface,3,Image 1,2,1000161040,161180,
0,,Surface,3,Image 1,2,1000161041,161181,
0,,Surface,3,Image 1,2,1000161050,161182,
0,,Surface,3,Image 1,2,1000161045,161183,
0,,Surface,3,Image 1,2,1000161055,161184,
0,,Surface,3,Image 1,2,1000161054,161185,
0,,Surface,3,Image 1,2,1000161186,161186,
0,,Surface,3,Image 1,2,1000161049,161187,
0,,Surface,3,Image 1,2,1000161052,161188,
0,,Surface,3,Image 1,2,1000161051,161189,
