
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0,s,Surface,1,1000111094,111094,
0,s,Surface,1,1000111095,111095,
0,s,Surface,1,1000111096,111096,
0,s,Surface,1,1000111097,111097,
0,s,Surface,1,1000111098,111098,
0,s,Surface,1,1000111099,111099,
0,s,Surface,1,1000111100,111100,
0,s,Surface,1,1000111101,111101,
0,s,Surface,1,1000111102,111102,
0,s,Surface,1,1000111103,111103,
0,s,Surface,1,1000111104,111104,
0,s,Surface,1,1000111105,111105,
0,s,Surface,1,1000111106,111106,
0,s,Surface,1,1000111107,111107,
0,s,Surface,1,1000111108,111108,
0,s,Surface,1,1000111109,111109,
0,s,Surface,1,1000111110,111110,
0,s,Surface,1,1000111111,111111,
0,s,Surface,1,1000111112,111112,
0,s,Surface,1,1000111113,111113,
0,s,Surface,1,1000111114,111114,
0,s,Surface,1,1000111115,111115,
0,s,Surface,1,1000111116,111116,
0,s,Surface,1,1000111117,111117,
0,s,Surface,1,1000111118,111118,
0,s,Surface,1,1000111119,111119,
0,s,Surface,1,1000111120,111120,
0,s,Surface,1,1000111121,111121,
0,s,Surface,1,1000111122,111122,
0,s,Surface,1,1000111123,111123,
0,s,Surface,1,1000111124,111124,
0,s,Surface,1,1000111125,111125,
0,s,Surface,1,1000111126,111126,
0,s,Surface,1,1000111127,111127,
0,s,Surface,1,1000111128,111128,
0,s,Surface,1,1000111129,111129,
0,s,Surface,1,1000111130,111130,
0,s,Surface,1,1000111131,111131,
0,s,Surface,1,1000111132,111132,
0,s,Surface,1,1000111133,111133,
0,s,Surface,1,1000111134,111134,
0,s,Surface,1,1000111135,111135,
0,s,Surface,1,1000111136,111136,
0,s,Surface,1,1000111137,111137,
0,s,Surface,1,1000111138,111138,
0,s,Surface,1,1000111139,111139,
0,s,Surface,1,1000111140,111140,
0,s,Surface,1,1000111141,111141,
0,s,Surface,1,1000111142,111142,
0,s,Surface,1,1000111143,111143,
0,s,Surface,1,1000111144,111144,
0,s,Surface,1,1000111145,111145,
0,s,Surface,1,1000111146,111146,
0,s,Surface,1,1000111147,111147,
0,s,Surface,1,1000111148,111148,
0,s,Surface,1,1000111149,111149,
0,s,Surface,1,1000111150,111150,
0,s,Surface,1,1000111151,111151,
0,s,Surface,1,1000111152,111152,
0,s,Surface,1,1000111153,111153,
0,s,Surface,1,1000111154,111154,
0,s,Surface,1,1000111155,111155,
0,s,Surface,1,1000111156,111156,
0,s,Surface,1,1000111157,111157,
0,s,Surface,1,1000111158,111158,
0,s,Surface,1,1000111159,111159,
0,s,Surface,1,1000111160,111160,
0,s,Surface,1,1000111161,111161,
0,s,Surface,1,1000111162,111162,
0,s,Surface,1,1000111163,111163,
0,s,Surface,1,1000111164,111164,
0,s,Surface,1,1000111165,111165,
0,s,Surface,1,1000111166,111166,
0,s,Surface,1,1000111167,111167,
0,s,Surface,1,1000111168,111168,
0,s,Surface,1,1000111169,111169,
0,s,Surface,1,1000111170,111170,
0,s,Surface,1,1000111171,111171,
0,s,Surface,1,1000111172,111172,
0,s,Surface,1,1000111173,111173,
0,s,Surface,1,1000111174,111174,
0,s,Surface,1,1000111175,111175,
0,s,Surface,1,1000111176,111176,
0,s,Surface,1,1000111177,111177,
0,s,Surface,1,1000111178,111178,
0,s,Surface,1,1000111179,111179,
0,s,Surface,1,1000111180,111180,
0,s,Surface,1,1000111181,111181,
0,s,Surface,1,1000111182,111182,
0,s,Surface,1,1000111183,111183,
0,s,Surface,1,1000111184,111184,
0,s,Surface,1,1000111185,111185,
