
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
0,um,Surface,1,1000190005,190005,
0,um,Surface,1,1000190006,190006,
0,um,Surface,1,1000190007,190007,
0,um,Surface,1,1000190008,190008,
0,um,Surface,1,1000190009,190009,
0,um,Surface,1,1000190010,190010,
0,um,Surface,1,1000190011,190011,
0,um,Surface,1,1000190012,190012,
0,um,Surface,1,1000190013,190013,
0,um,Surface,1,1000190014,190014,
0,um,Surface,1,1000190015,190015,
0,um,Surface,1,1000190016,190016,
0,um,Surface,1,1000190017,190017,
0,um,Surface,1,1000190018,190018,
0,um,Surface,1,1000190019,190019,
0,um,Surface,1,1000190020,190020,
0,um,Surface,1,1000190021,190021,
0,um,Surface,1,1000190022,190022,
0,um,Surface,1,1000190023,190023,
0,um,Surface,1,1000190024,190024,
0,um,Surface,1,1000190025,190025,
0,um,Surface,1,1000190026,190026,
0,um,Surface,1,1000190027,190027,
0,um,Surface,1,1000190028,190028,
0,um,Surface,1,1000190029,190029,
0,um,Surface,1,1000190030,190030,
0,um,Surface,1,1000190031,190031,
0,um,Surface,1,1000190032,190032,
0,um,Surface,1,1000190033,190033,
0,um,Surface,1,1000190034,190034,
0,um,Surface,1,1000190035,190035,
0,um,Surface,1,1000190036,190036,
0,um,Surface,1,1000190037,190037,
0,um,Surface,1,1000190038,190038,
0,um,Surface,1,1000190039,190039,
0,um,Surface,1,1000190040,190040,
0,um,Surface,1,1000190041,190041,
0,um,Surface,1,1000190042,190042,
0,um,Surface,1,1000190043,190043,
0,um,Surface,1,1000190044,190044,
0,um,Surface,1,1000190045,190045,
0,um,Surface,1,1000190046,190046,
0,um,Surface,1,1000190047,190047,
0,um,Surface,1,1000190048,190048,
0,um,Surface,1,1000190049,190049,
0,um,Surface,1,1000190050,190050,
0,um,Surface,1,1000190051,190051,
0,um,Surface,1,1000190052,190052,
0,um,Surface,1,1000190053,190053,
0,um,Surface,1,1000190054,190054,
0,um,Surface,1,1000190055,190055,
0,um,Surface,1,1000190056,190056,
0,um,Surface,1,1000190057,190057,
0,um,Surface,1,1000190058,190058,
0,um,Surface,1,1000190059,190059,
0,um,Surface,1,1000190060,190060,
