
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
0,um,Surface,1,1000224458,224458,
0,um,Surface,1,1000224459,224459,
0,um,Surface,1,1000224460,224460,
0,um,Surface,1,1000224461,224461,
0,um,Surface,1,1000224462,224462,
0,um,Surface,1,1000224463,224463,
0,um,Surface,1,1000224464,224464,
0,um,Surface,1,1000224465,224465,
0,um,Surface,1,1000224466,224466,
0,um,Surface,1,1000224467,224467,
0,um,Surface,1,1000224468,224468,
0,um,Surface,1,1000224469,224469,
0,um,Surface,1,1000224470,224470,
0,um,Surface,1,1000224471,224471,
0,um,Surface,1,1000224472,224472,
0,um,Surface,1,1000224473,224473,
0,um,Surface,1,1000224474,224474,
0,um,Surface,1,1000224475,224475,
0,um,Surface,1,1000224476,224476,
0,um,Surface,1,1000224477,224477,
0,um,Surface,1,1000224478,224478,
0,um,Surface,1,1000224479,224479,
0,um,Surface,1,1000224480,224480,
0,um,Surface,1,1000224481,224481,
0,um,Surface,1,1000224482,224482,
0,um,Surface,1,1000224483,224483,
0,um,Surface,1,1000224484,224484,
0,um,Surface,1,1000224485,224485,
0,um,Surface,1,1000224486,224486,
0,um,Surface,1,1000224487,224487,
0,um,Surface,1,1000224488,224488,
0,um,Surface,1,1000224489,224489,
0,um,Surface,1,1000224490,224490,
0,um,Surface,1,1000224491,224491,
0,um,Surface,1,1000224492,224492,
0,um,Surface,1,1000224493,224493,
0,um,Surface,1,1000224494,224494,
0,um,Surface,1,1000224495,224495,
0,um,Surface,1,1000224496,224496,
0,um,Surface,1,1000224497,224497,
0,um,Surface,1,1000224498,224498,
0,um,Surface,1,1000224499,224499,
0,um,Surface,1,1000224500,224500,
0,um,Surface,1,1000224501,224501,
0,um,Surface,1,1000224502,224502,
0,um,Surface,1,1000224503,224503,
0,um,Surface,1,1000224504,224504,
0,um,Surface,1,1000224505,224505,
0,um,Surface,1,1000224506,224506,
0,um,Surface,1,1000224507,224507,
0,um,Surface,1,1000224508,224508,
0,um,Surface,1,1000224509,224509,
0,um,Surface,1,1000224510,224510,
0,um,Surface,1,1000224511,224511,
0,um,Surface,1,1000224512,224512,
0,um,Surface,1,1000224513,224513,
0,um,Surface,1,1000224514,224514,
0,um,Surface,1,1000224515,224515,
0,um,Surface,1,1000224516,224516,
0,um,Surface,1,1000224517,224517,
0,um,Surface,1,1000224518,224518,
0,um,Surface,1,1000224519,224519,
0,um,Surface,1,1000224520,224520,
0,um,Surface,1,1000224521,224521,
0,um,Surface,1,1000224522,224522,
0,um,Surface,1,1000224523,224523,
0,um,Surface,1,1000224524,224524,
0,um,Surface,1,1000224525,224525,
0,um,Surface,1,1000224526,224526,
0,um,Surface,1,1000224527,224527,
0,um,Surface,1,1000224528,224528,
0,um,Surface,1,1000224529,224529,
