
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,um,Surface,Displacement Delta,1,1000052648,52648,
0,0,0,um,Surface,Displacement Delta,1,1000052649,52649,
0,0,0,um,Surface,Displacement Delta,1,1000052650,52650,
0,0,0,um,Surface,Displacement Delta,1,1000052651,52651,
0,0,0,um,Surface,Displacement Delta,1,1000052652,52652,
0,0,0,um,Surface,Displacement Delta,1,1000052653,52653,
0,0,0,um,Surface,Displacement Delta,1,1000052654,52654,
0,0,0,um,Surface,Displacement Delta,1,1000052655,52655,
0,0,0,um,Surface,Displacement Delta,1,1000052656,52656,
0,0,0,um,Surface,Displacement Delta,1,1000052657,52657,
0,0,0,um,Surface,Displacement Delta,1,1000052658,52658,
0,0,0,um,Surface,Displacement Delta,1,1000052659,52659,
0,0,0,um,Surface,Displacement Delta,1,1000052660,52660,
0,0,0,um,Surface,Displacement Delta,1,1000052661,52661,
0,0,0,um,Surface,Displacement Delta,1,1000052662,52662,
0,0,0,um,Surface,Displacement Delta,1,1000052663,52663,
0,0,0,um,Surface,Displacement Delta,1,1000052664,52664,
0,0,0,um,Surface,Displacement Delta,1,1000052665,52665,
0,0,0,um,Surface,Displacement Delta,1,1000052666,52666,
0,0,0,um,Surface,Displacement Delta,1,1000052667,52667,
0,0,0,um,Surface,Displacement Delta,1,1000052668,52668,
0,0,0,um,Surface,Displacement Delta,1,1000052669,52669,
0,0,0,um,Surface,Displacement Delta,1,1000052670,52670,
0,0,0,um,Surface,Displacement Delta,1,1000052671,52671,
0,0,0,um,Surface,Displacement Delta,1,1000052672,52672,
0,0,0,um,Surface,Displacement Delta,1,1000052673,52673,
0,0,0,um,Surface,Displacement Delta,1,1000052674,52674,
0,0,0,um,Surface,Displacement Delta,1,1000052675,52675,
0,0,0,um,Surface,Displacement Delta,1,1000052676,52676,
0,0,0,um,Surface,Displacement Delta,1,1000052677,52677,
0,0,0,um,Surface,Displacement Delta,1,1000052678,52678,
0,0,0,um,Surface,Displacement Delta,1,1000052679,52679,
0,0,0,um,Surface,Displacement Delta,1,1000052680,52680,
0,0,0,um,Surface,Displacement Delta,1,1000052681,52681,
0,0,0,um,Surface,Displacement Delta,1,1000052682,52682,
0,0,0,um,Surface,Displacement Delta,1,1000052683,52683,
0,0,0,um,Surface,Displacement Delta,1,1000052684,52684,
0,0,0,um,Surface,Displacement Delta,1,1000052685,52685,
0,0,0,um,Surface,Displacement Delta,1,1000052686,52686,
0,0,0,um,Surface,Displacement Delta,1,1000052687,52687,
0,0,0,um,Surface,Displacement Delta,1,1000052688,52688,
0,0,0,um,Surface,Displacement Delta,1,1000052689,52689,
0,0,0,um,Surface,Displacement Delta,1,1000052690,52690,
0,0,0,um,Surface,Displacement Delta,1,1000052691,52691,
0,0,0,um,Surface,Displacement Delta,1,1000052692,52692,
0,0,0,um,Surface,Displacement Delta,1,1000052693,52693,
0,0,0,um,Surface,Displacement Delta,1,1000052694,52694,
0,0,0,um,Surface,Displacement Delta,1,1000052695,52695,
0,0,0,um,Surface,Displacement Delta,1,1000052696,52696,
0,0,0,um,Surface,Displacement Delta,1,1000052697,52697,
0,0,0,um,Surface,Displacement Delta,1,1000052698,52698,
0,0,0,um,Surface,Displacement Delta,1,1000052699,52699,
0,0,0,um,Surface,Displacement Delta,1,1000052700,52700,
0,0,0,um,Surface,Displacement Delta,1,1000052701,52701,
0,0,0,um,Surface,Displacement Delta,1,1000052702,52702,
0,0,0,um,Surface,Displacement Delta,1,1000052703,52703,
0,0,0,um,Surface,Displacement Delta,1,1000052704,52704,
0,0,0,um,Surface,Displacement Delta,1,1000052705,52705,
0,0,0,um,Surface,Displacement Delta,1,1000052706,52706,
0,0,0,um,Surface,Displacement Delta,1,1000052707,52707,
0,0,0,um,Surface,Displacement Delta,1,1000052708,52708,
0,0,0,um,Surface,Displacement Delta,1,1000052709,52709,
0,0,0,um,Surface,Displacement Delta,1,1000052710,52710,
0,0,0,um,Surface,Displacement Delta,1,1000052711,52711,
0,0,0,um,Surface,Displacement Delta,1,1000052712,52712,
0,0,0,um,Surface,Displacement Delta,1,1000052713,52713,
0,0,0,um,Surface,Displacement Delta,1,1000052714,52714,
0,0,0,um,Surface,Displacement Delta,1,1000052715,52715,
0,0,0,um,Surface,Displacement Delta,1,1000052716,52716,
0,0,0,um,Surface,Displacement Delta,1,1000052717,52717,
0,0,0,um,Surface,Displacement Delta,1,1000052718,52718,
0,0,0,um,Surface,Displacement Delta,1,1000052719,52719,
0,0,0,um,Surface,Displacement Delta,1,1000052720,52720,
0,0,0,um,Surface,Displacement Delta,1,1000052721,52721,
0,0,0,um,Surface,Displacement Delta,1,1000052722,52722,
0,0,0,um,Surface,Displacement Delta,1,1000052723,52723,
0,0,0,um,Surface,Displacement Delta,1,1000052724,52724,
