
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0,s,Surface,1,1000067170,67170,
0,s,Surface,1,1000067171,67171,
0,s,Surface,1,1000067172,67172,
0,s,Surface,1,1000067173,67173,
0,s,Surface,1,1000067174,67174,
0,s,Surface,1,1000067175,67175,
0,s,Surface,1,1000067176,67176,
0,s,Surface,1,1000067177,67177,
0,s,Surface,1,1000067178,67178,
0,s,Surface,1,1000067179,67179,
0,s,Surface,1,1000067180,67180,
0,s,Surface,1,1000067181,67181,
0,s,Surface,1,1000067182,67182,
0,s,Surface,1,1000067183,67183,
0,s,Surface,1,1000067184,67184,
0,s,Surface,1,1000067185,67185,
0,s,Surface,1,1000067186,67186,
0,s,Surface,1,1000067187,67187,
0,s,Surface,1,1000067188,67188,
0,s,Surface,1,1000067189,67189,
0,s,Surface,1,1000067190,67190,
0,s,Surface,1,1000067191,67191,
0,s,Surface,1,1000067192,67192,
0,s,Surface,1,1000067193,67193,
0,s,Surface,1,1000067194,67194,
0,s,Surface,1,1000067195,67195,
0,s,Surface,1,1000067196,67196,
0,s,Surface,1,1000067197,67197,
0,s,Surface,1,1000067198,67198,
0,s,Surface,1,1000067199,67199,
0,s,Surface,1,1000067200,67200,
0,s,Surface,1,1000067201,67201,
0,s,Surface,1,1000067202,67202,
0,s,Surface,1,1000067203,67203,
0,s,Surface,1,1000067204,67204,
0,s,Surface,1,1000067205,67205,
0,s,Surface,1,1000067206,67206,
0,s,Surface,1,1000067207,67207,
0,s,Surface,1,1000067208,67208,
0,s,Surface,1,1000067209,67209,
0,s,Surface,1,1000067210,67210,
0,s,Surface,1,1000067211,67211,
0,s,Surface,1,1000067212,67212,
0,s,Surface,1,1000067213,67213,
0,s,Surface,1,1000067214,67214,
0,s,Surface,1,1000067215,67215,
0,s,Surface,1,1000067216,67216,
0,s,Surface,1,1000067217,67217,
0,s,Surface,1,1000067218,67218,
0,s,Surface,1,1000067219,67219,
0,s,Surface,1,1000067220,67220,
0,s,Surface,1,1000067221,67221,
0,s,Surface,1,1000067222,67222,
0,s,Surface,1,1000067223,67223,
0,s,Surface,1,1000067224,67224,
0,s,Surface,1,1000067225,67225,
0,s,Surface,1,1000067226,67226,
0,s,Surface,1,1000067227,67227,
0,s,Surface,1,1000067228,67228,
0,s,Surface,1,1000067229,67229,
0,s,Surface,1,1000067230,67230,
0,s,Surface,1,1000067231,67231,
0,s,Surface,1,1000067232,67232,
0,s,Surface,1,1000067233,67233,
0,s,Surface,1,1000067234,67234,
0,s,Surface,1,1000067235,67235,
0,s,Surface,1,1000067236,67236,
0,s,Surface,1,1000067237,67237,
0,s,Surface,1,1000067238,67238,
0,s,Surface,1,1000067239,67239,
0,s,Surface,1,1000067240,67240,
0,s,Surface,1,1000067241,67241,
0,s,Surface,1,1000067242,67242,
0,s,Surface,1,1000067243,67243,
0,s,Surface,1,1000067244,67244,
0,s,Surface,1,1000067245,67245,
0,s,Surface,1,1000067246,67246,
0,s,Surface,1,1000067247,67247,
0,s,Surface,1,1000067248,67248,
0,s,Surface,1,1000067249,67249,
0,s,Surface,1,1000067250,67250,
0,s,Surface,1,1000067251,67251,
0,s,Surface,1,1000067252,67252,
0,s,Surface,1,1000067253,67253,
0,s,Surface,1,1000067254,67254,
0,s,Surface,1,1000067255,67255,
0,s,Surface,1,1000067256,67256,
0,s,Surface,1,1000067257,67257,
0,s,Surface,1,1000067258,67258,
0,s,Surface,1,1000067259,67259,
0,s,Surface,1,1000067260,67260,
0,s,Surface,1,1000067261,67261,
0,s,Surface,1,1000067262,67262,
0,s,Surface,1,1000067263,67263,
0,s,Surface,1,1000067264,67264,
0,s,Surface,1,1000067265,67265,
0,s,Surface,1,1000067266,67266,
0,s,Surface,1,1000067267,67267,
0,s,Surface,1,1000067268,67268,
0,s,Surface,1,1000067269,67269,
0,s,Surface,1,1000067270,67270,
0,s,Surface,1,1000067271,67271,
0,s,Surface,1,1000067272,67272,
0,s,Surface,1,1000067273,67273,
0,s,Surface,1,1000067274,67274,
0,s,Surface,1,1000067275,67275,
0,s,Surface,1,1000067276,67276,
0,s,Surface,1,1000067277,67277,
0,s,Surface,1,1000067278,67278,
0,s,Surface,1,1000067279,67279,
0,s,Surface,1,1000067280,67280,
0,s,Surface,1,1000067281,67281,
0,s,Surface,1,1000067282,67282,
0,s,Surface,1,1000067283,67283,
0,s,Surface,1,1000067284,67284,
0,s,Surface,1,1000067285,67285,
0,s,Surface,1,1000067286,67286,
118.354,s,Surface,2,1000067198,67287,
118.354,s,Surface,2,1000067191,67288,
118.354,s,Surface,2,1000067192,67289,
118.354,s,Surface,2,1000067194,67290,
118.354,s,Surface,2,1000067171,67291,
118.354,s,Surface,2,1000067172,67292,
118.354,s,Surface,2,1000067170,67293,
118.354,s,Surface,2,1000067173,67294,
118.354,s,Surface,2,1000067174,67295,
118.354,s,Surface,2,1000067175,67296,
118.354,s,Surface,2,1000067176,67297,
118.354,s,Surface,2,1000067177,67298,
118.354,s,Surface,2,1000067178,67299,
118.354,s,Surface,2,1000067181,67300,
118.354,s,Surface,2,1000067180,67301,
118.354,s,Surface,2,1000067179,67302,
118.354,s,Surface,2,1000067182,67303,
118.354,s,Surface,2,1000067184,67304,
118.354,s,Surface,2,1000067183,67305,
118.354,s,Surface,2,1000067306,67306,
118.354,s,Surface,2,1000067185,67307,
118.354,s,Surface,2,1000067186,67308,
118.354,s,Surface,2,1000067309,67309,
118.354,s,Surface,2,1000067187,67310,
118.354,s,Surface,2,1000067188,67311,
118.354,s,Surface,2,1000067189,67312,
118.354,s,Surface,2,1000067313,67313,
118.354,s,Surface,2,1000067190,67314,
118.354,s,Surface,2,1000067195,67315,
118.354,s,Surface,2,1000067193,67316,
118.354,s,Surface,2,1000067196,67317,
118.354,s,Surface,2,1000067200,67318,
118.354,s,Surface,2,1000067197,67319,
118.354,s,Surface,2,1000067199,67320,
118.354,s,Surface,2,1000067204,67321,
118.354,s,Surface,2,1000067202,67322,
118.354,s,Surface,2,1000067205,67323,
118.354,s,Surface,2,1000067206,67324,
118.354,s,Surface,2,1000067207,67325,
118.354,s,Surface,2,1000067208,67326,
118.354,s,Surface,2,1000067211,67327,
